doc_id,expectation,mention_text
18922335,1,'0.01'
18922335,0.999,'0.50'
18922335,0.998,'0.01'
18922335,1,'0.01'
18922335,0.997,'0.63'
18922335,0.971,'0.62'
18922335,0.995,'0.05'
18922335,0.996,'0.0001'
18922335,1,'0.05'
18922335,0.996,'0.73'
18922335,0.974,'0.17'
18922335,1,'0.90'
19463397,1,'0.001'
19463397,1,'0.001'
19463397,0.998,'0.01'
19463397,0.999,'0.01'
19463397,0.999,'0.01'
19643262,1,'0.001'
19643262,0.999,'0.291'
19643262,1,'0.023'
19643262,0.997,'0.059'
19643262,1,'0.001'
19643262,1,'0.001'
19643262,1,'0.001'
19643262,0.999,'0.001'
19643262,1,'0.009'
19643262,0.999,'0.031'
19643262,0.999,'0.003'
19643262,1,'0.003'
19643262,1,'0.001'
19643262,1,'0.821'
19643262,0.997,'0.144'
19643262,0.998,'0.405'
19643262,1,'0.308'
19643262,1,'0.793'
19643262,1,'0.001'
19643262,1,'0.001'
19643262,1,'0.647'
19643262,1,'0.012'
19643262,1,'0.179'
19643262,0.997,'0.732'
19643262,0.999,'0.775'
19643262,1,'0.001'
19643262,1,'0.001'
18676075,1,'0.05'
18676075,0.998,'0.001'
18676075,0.998,'0.7'
18676075,0.999,'0.5'
18676075,0.987,'0.9'
18676075,1,'0.9'
18676075,0.998,'0.3'
18676075,1,'0.3'
19674806,1,'0.001'
19674806,1,'0.007'
19674806,0.999,'0.02'
19674806,0.997,'0.023'
19674806,0.998,'0.191'
19674806,0.988,'0.01'
19674806,0.994,'0.004'
19674806,0.999,'0.008'
19674806,1,'0.014'
19674806,0.999,'0.019'
19674806,1,'0.002'
19674806,1,'0.018'
19674806,1,'0.015'
19674806,0.997,'0.013'
19674806,0.999,'0.0001'
19674806,1,'0.03'
19674806,1,'0.02'
19674806,0.993,'0.005'
19674806,1,'0.001'
19674806,1,'0.028'
19674806,1,'0.002'
19674806,0.992,'0.025'
19674806,0.993,'0.028'
19674806,1,'0.01'
19674806,0.999,'0.014'
19674806,1,'0.048'
20079647,0.999,'0.05'
20079647,1,'0.01'
20079647,0.998,'0.03'
20079647,0.986,'0.002'
20079647,0.986,'0.006'
20079647,1,'0.02'
20079647,1,'0.02'
19007693,0.999,'0.71'
19007693,1,'0.37'
19007693,0.963,'0.0003'
19007693,1,'0.96'
19007693,0.998,'0.07'
19007693,0.918,'0.35'
18617382,1,'0.003'
18617382,0.999,'0.001'
18617382,0.999,'0.097'
18617382,0.983,'0.05'
18617382,0.999,'0.014'
18617382,0.977,'0.002'
18617382,1,'0.001'
18617382,1,'0.05'
19095130,1,'0.001'
19095130,0.997,'0.01'
20117384,0.999,'0.04'
20117384,1,'0.0001'
20117384,0.998,'0.039'
20883929,0.963,'0.05'
20883929,0.981,'0.001'
20883929,0.996,'0.06'
19501439,0.994,'0.001'
20185357,0.995,'0.002'
20185357,0.998,'0.346'
20185357,1,'0.473'
20185357,0.999,'0.006'
20185357,1,'0.233'
20185357,0.999,'0.042'
20185357,0.998,'0.558'
20185357,1,'0.527'
20185357,0.998,'0.008'
20185357,0.999,'0.001'
20185357,0.994,'0.001'
20185357,0.997,'0.002'
20185357,0.99,'0.001'
20185357,0.999,'0.104'
20185357,0.993,'0.001'
20185357,0.994,'0.002'
20185357,0.992,'0.001'
20185357,0.999,'0.085'
19361602,0.999,'0.001'
19361602,1,'0.001'
19361602,0.999,'0.001'
19361602,0.997,'0.001'
19361602,0.997,'0.006'
19361602,0.998,'0.049'
19361602,0.995,'0.006'
19361602,0.997,'0.045'
19361602,1,'0.001'
19361602,0.993,'0.006'
19361602,0.995,'0.049'
19361602,0.984,'0.006'
19361602,1,'0.05'
19361602,1,'0.05'
19361602,0.998,'0.05'
19361602,0.999,'0.05'
